"Timestamp","1. The text in the Recommender System is easy to read and understand.","2.  The colour used across the  Recommender System UI, make it easy to read information in the extension.","3. The  Recommender System has the same feel throughout its entirety.","4. College Application Information presented in the website is always in the same manner across the   Recommender System  .","5. The amount of information on the Recommender System is appropriate.","6. Rate the quality of information displayed in the UI of the  Recommender System .","7. Rate the relevance of the information displayed by the  Recommender System","8. Rate consistency of the Recommender System  design style","9. Rate the visual clutter of the user interface of the  Recommender System"
"2022/11/17 6:40:22 PM GMT","4","4","3","4","5","4","4","4","5"
"2022/11/17 6:40:35 PM GMT","4","4","4","4","4","4","4","4","4"
"2022/11/17 6:40:52 PM GMT","5","3","4","5","5","5","5","3","4"
"2022/11/17 6:41:05 PM GMT","5","5","3","3","4","4","4","5","5"
"2022/11/17 6:41:17 PM GMT","4","3","4","4","4","4","4","5","5"
"2022/11/17 6:41:29 PM GMT","4","3","3","3","3","3","3","5","3"
"2022/11/17 6:41:40 PM GMT","3","3","3","3","3","3","3","3","3"
"2022/11/17 6:41:55 PM GMT","5","5","5","5","5","5","5","5","5"
"2022/11/17 6:42:10 PM GMT","5","3","3","3","4","4","5","5","4"
"2022/11/17 6:42:23 PM GMT","4","4","4","4","4","4","4","4","4"
